model_id,model_revision,task_family,r_semantic_class,r_operation,r_selection_policy,r_scope,r_edit_budget,n,both_correct,broke,recovered,both_wrong,clean_accuracy,perturbed_accuracy,delta,delta_ci_low,delta_ci_high,delta_ci_method,clean_conditioned_failure,retention,discordant_rate,mcnemar_p_value,mcnemar_method,answer_flip_rate,invalid_or_clarification_rate,n_audit_excluded,delta_valid_only,mcnemar_p_valid_only,p_value_adjustment,mcnemar_p_value_adjusted,is_significant_after_adjustment
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,gsm8k,A,delete,keyboard_neighbor,anywhere,1,24,13,1,0,10,0.5833333333333334,0.5416666666666666,0.04166666666666674,0.0,0.2904200991072988,BCa,0.07142857142857142,0.9285714285714285,0.041666666666666664,0.5000000000000001,exact_midp,0.08333333333333333,0.0,0,0.04166666666666674,0.5000000000000001,bh_fdr_exploratory,0.7116336633663368,False
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,gsm8k,A,delete,keyboard_neighbor,anywhere,2,24,11,3,2,8,0.5833333333333334,0.5416666666666666,0.04166666666666674,-0.08333333333333337,0.25,BCa,0.21428571428571427,0.9285714285714285,0.20833333333333334,0.6875,exact_midp,0.375,0.0,0,0.04166666666666674,0.6875,bh_fdr_exploratory,0.7616811175337189,False
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,gsm8k,A,delete,keyboard_neighbor,anywhere,4,24,12,2,2,8,0.5833333333333334,0.5833333333333334,0.0,-0.16666666666666669,0.16666666666666669,BCa,0.14285714285714285,1.0,0.16666666666666666,0.6249999999999998,exact_midp,0.3333333333333333,0.0,0,0.0,0.6249999999999998,bh_fdr_exploratory,0.7187499999999998,False
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,gsm8k,A,delete,whitespace,anywhere,1,24,14,0,1,9,0.5833333333333334,0.625,-0.04166666666666663,-0.16666666666666674,0.0,BCa,0.0,1.0714285714285714,0.041666666666666664,0.5000000000000001,exact_midp,0.20833333333333334,0.0,0,-0.04166666666666663,0.5000000000000001,bh_fdr_exploratory,0.7116336633663368,False
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,gsm8k,A,delete,whitespace,anywhere,2,24,13,1,1,9,0.5833333333333334,0.5833333333333334,0.0,-0.125,0.125,BCa,0.07142857142857142,1.0,0.08333333333333333,0.4999999999999998,exact_midp,0.25,0.0,0,0.0,0.4999999999999998,bh_fdr_exploratory,0.7116336633663368,False
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,gsm8k,A,insert,filler_word,anywhere,1,24,12,2,0,10,0.5833333333333334,0.5,0.08333333333333337,0.0,0.2916666666666667,BCa,0.14285714285714285,0.8571428571428571,0.08333333333333333,0.25,exact_midp,0.16666666666666666,0.0,0,0.08333333333333337,0.25,bh_fdr_exploratory,0.7116336633663368,False
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,gsm8k,A,insert,filler_word,anywhere,2,24,11,3,3,7,0.5833333333333334,0.5833333333333334,0.0,-0.20833333333333337,0.20833333333333331,BCa,0.21428571428571427,1.0,0.25,0.6875000000000002,exact_midp,0.375,0.0,0,0.0,0.6875000000000002,bh_fdr_exploratory,0.7616811175337189,False
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,gsm8k,A,insert,keyboard_neighbor,anywhere,1,24,12,2,0,10,0.5833333333333334,0.5,0.08333333333333337,0.0,0.2916666666666667,BCa,0.14285714285714285,0.8571428571428571,0.08333333333333333,0.25,exact_midp,0.20833333333333334,0.0,0,0.08333333333333337,0.25,bh_fdr_exploratory,0.7116336633663368,False
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,gsm8k,A,insert,keyboard_neighbor,anywhere,2,24,12,2,1,9,0.5833333333333334,0.5416666666666666,0.04166666666666674,-0.04166666666666674,0.24999999999999994,BCa,0.14285714285714285,0.9285714285714285,0.125,0.6249999999999997,exact_midp,0.16666666666666666,0.0,0,0.04166666666666674,0.6249999999999997,bh_fdr_exploratory,0.7187499999999998,False
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,gsm8k,A,insert,keyboard_neighbor,anywhere,4,24,12,2,1,9,0.5833333333333334,0.5416666666666666,0.04166666666666674,-0.04166666666666674,0.24999999999999994,BCa,0.14285714285714285,0.9285714285714285,0.125,0.6249999999999997,exact_midp,0.3333333333333333,0.0,0,0.04166666666666674,0.6249999999999997,bh_fdr_exploratory,0.7187499999999998,False
